DATAFLOW,REF_AREA,MEASURE,SECTOR,STANDARD_REVENUE,CTRY_SPECIFIC_REVENUE,UNIT_MEASURE,FREQ,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,REVENUE_CODE,DECIMALS,CURRENCY
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),COG,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,8.887260144,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),COG,TAX_REV,S13,_T,_T,PT_B1GQ,A,2021,8.23163853,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),COG,TAX_REV,S13,_T,_T,PT_B1GQ,A,2020,9.816613793,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),COD,TAX_REV,S13,_T,_T,PT_B1GQ,A,2023,10.93130459,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),COD,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,13.02604511,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),COD,TAX_REV,S13,_T,_T,PT_B1GQ,A,2021,9.32044287,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),COD,TAX_REV,S13,_T,_T,PT_B1GQ,A,2020,7.199623673,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MNG,TAX_REV,S13,_T,_T,PT_B1GQ,A,2023,24.682,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MNG,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,24.551,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MNG,TAX_REV,S13,_T,_T,PT_B1GQ,A,2021,23.99,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MNG,TAX_REV,S13,_T,_T,PT_B1GQ,A,2020,20.822,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),CUB,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,22.90668346,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),CUB,TAX_REV,S13,_T,_T,PT_B1GQ,A,2023,17.85682845,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),CUB,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,18.3299768,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),CUB,TAX_REV,S13,_T,_T,PT_B1GQ,A,2021,17.70325222,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),CUB,TAX_REV,S13,_T,_T,PT_B1GQ,A,2020,37.50569334,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MRT,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,15.13305564,A,0,TOTALTAX,1,_Z
